Progress,Finished,ResponseId,position,faculty,2025_new_q_other,familiarity_1,familiarity_2,familiarity_3,familiarity_4,familiarity_12,familiarity_5,familiarity_6,familiarity_7,familiarity_8,familiarity_9,familiarity_10,familiarity_11,familiarity_13,stimulate_1,stimulate_2,stimulate_3,stimulate_4,stimulate_12,stimulate_5,stimulate_6,stimulate_7,stimulate_8,stimulate_9,stimulate_10,stimulate_11,stimulate_13,implement_1,implement_2,implement_3,implement_4,implement_12,implement_5,implement_6,implement_7,implement_8,implement_9,implement_10,implement_11,implement_13,motivation_1,motivation_2,motivation_3,motivation_4,motivation_5,motivation_6,motivation_7,motivation_9,motivation_10,motivation_11,barriers_1,barriers_2,barriers_3,barriers_4,barriers_5,barriers_6,barriers_7,barriers_8,barriers_9,barriers_10,barriers_11,barriers_12,more_OS_1,more_OS_2,more_OS_3,more_OS_4,more_OS_5,more_OS_6,more_OS_7,new2025_involvement_1,new2025_involvement_2,new2025_involvement_3,new2025_involvement_4,RR,practices_other_1,practices_other_2,practices_other_3,practices_other_4,practices_other_12,practices_other_5,practices_other_6,practices_other_7,practices_other_8,practices_other_9,practices_other_10,practices_other_11,practices_other_13,wave,Duration
100,TRUE,R_2MYBphcglwYNsRm,Researcher,Social and Behavioural Sciences,NA,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,NA,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,NA,Open Data,FAIR Data,NA,Open Software / code / syntax,NA,NA,NA,NA,NA,NA,NA,NA,Open Access,Open Data,NA,NA,NA,NA,NA,NA,Preprints,Preregistration/Registered report,NA,NA,NA,NA,NA,NA,It increases the impact of my research,I think it is an important part of research,It is common practice in amongst my colleagues from my institute,NA,NA,NA,NA,NA,Lack of training on how to practice Open Science,NA,Lack of clarity about ethical issues (e.g. data sharing),NA,"Lack of recognition of Open Science practices in evaluation, promotion and recruitment criteria at my institution",NA,NA,NA,NA,NA,NA,NA,More incentives that reward Open Science practices,More collaboration/engagement with peers to make norms about good practices visible,Better interfaces/workflows/tutorials that make it easy to practice Open Science,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,76,76,0,76,Somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,1356
53,FALSE,R_2RJ6G1kHUChZ2vv,Organisational Professional / Support Staff,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open Peer Review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open Education,NA,NA,NA,NA,NA,NA,NA,2025,1301
100,TRUE,R_2IWdWDlsRfm46vD,Assistant Professor,Archaeology,NA,Open Access,NA,FAIR Data,Reproducibility,Open Software / code / syntax,NA,Open Peer Review,Citizen Science,Preprints,NA,Science Communication,NA,NA,Open Access,NA,FAIR Data,NA,Open Software / code / syntax,NA,NA,NA,NA,NA,NA,NA,NA,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,NA,Open Peer Review,NA,NA,NA,Science Communication,NA,NA,NA,NA,NA,NA,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I experience no barriers in practicing Open Science,NA,NA,More policies that make Open Science practices required,NA,More collaboration/engagement with peers to make norms about good practices visible,Better interfaces/workflows/tutorials that make it easy to practice Open Science,NA,NA,NA,12,25,50,2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,1971
100,TRUE,R_82KEeY0y0UizjcR,Organisational Professional / Support Staff,Administrative / library / central,NA,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,Open Education,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,NA,NA,NA,Reproducibility,NA,NA,NA,NA,NA,Preregistration/Registered report,Science Communication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open Access,Open Data,FAIR Data,NA,Open Software / code,NA,NA,NA,NA,NA,Science Communication,NA,NA,2025,2441
100,TRUE,R_268Djczg4VmQ3N7,Organisational Professional / Support Staff,Administrative / library / central,NA,Open Access,Open Data,FAIR Data,NA,Open Software / code / syntax,Open Education,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,Open Access,NA,FAIR Data,NA,Open Software / code / syntax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open Access,NA,NA,NA,NA,Open Education,Open Peer Review,NA,Preprints,Preregistration/Registered report,NA,NA,NA,2025,774
100,TRUE,R_2WSh4xK9Web1gja,Full Professor,Social and Behavioural Sciences,NA,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,Open Education,Open Peer Review,Citizen Science,Preprints,Preregistration/Registered report,Science Communication,NA,NA,NA,Open Data,NA,NA,NA,NA,Open Peer Review,NA,Preprints,NA,NA,NA,NA,Open Access,Open Data,NA,Reproducibility,Open Software / code / syntax,NA,Open Peer Review,NA,Preprints,Preregistration/Registered report,Science Communication,NA,NA,NA,NA,NA,NA,I think it is an important part of research,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I experience no barriers in practicing Open Science,NA,NA,More policies that make Open Science practices required,More incentives that reward Open Science practices,NA,NA,NA,NA,NA,100,100,100,100,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,347
100,TRUE,R_2eE44yfy2xA7tiV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,46
100,TRUE,R_2PH6gWHZwiyNMup,Researcher,Social and Behavioural Sciences,NA,Open Access,Open Data,NA,NA,NA,NA,Open Peer Review,NA,Preprints,NA,Science Communication,NA,NA,Open Access,Open Data,NA,NA,NA,NA,Open Peer Review,NA,NA,NA,NA,NA,NA,Open Access,Open Data,NA,NA,NA,NA,NA,NA,Preprints,NA,NA,NA,NA,Required by funder policy,NA,NA,NA,NA,It is common practice in amongst my colleagues from my institute,NA,NA,NA,NA,NA,NA,Lack of funding for Open Science practices,NA,NA,"Lack of recognition of Open Science practices in evaluation, promotion and recruitment criteria at my institution",NA,NA,Lack of recognition in my (international) field about the value of Open Science practices,NA,NA,NA,NA,More incentives that reward Open Science practices,More collaboration/engagement with peers to make norms about good practices visible,NA,More supporting infrastructure that makes it possible to practice Open Science,NA,NA,58,60,62,50,Somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,331
100,TRUE,R_8lRSUBwNsPd1Nkd,PhD candidate,Science,NA,Open Access,Open Data,FAIR Data,Reproducibility,Open Software / code / syntax,Open Education,Open Peer Review,NA,Preprints,NA,Science Communication,NA,NA,NA,NA,NA,Reproducibility,Open Software / code / syntax,Open Education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Open Software / code / syntax,NA,NA,NA,Preprints,NA,Science Communication,NA,NA,NA,NA,NA,NA,I think it is an important part of research,NA,NA,NA,NA,"Other, namely",NA,NA,Lack of funding for Open Science practices,NA,Lack of time,NA,NA,NA,NA,NA,NA,Other,More policies that make Open Science practices required,More incentives that reward Open Science practices,More collaboration/engagement with peers to make norms about good practices visible,NA,NA,NA,NA,0,0,0,0,Somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,733
100,TRUE,R_7egZDZdP027rPSZ,Teacher / Lecturer,Social and Behavioural Sciences,NA,Open Access,Open Data,NA,NA,NA,NA,NA,NA,NA,NA,Science Communication,NA,NA,Open Access,Open Data,NA,NA,NA,NA,NA,NA,NA,NA,Science Communication,NA,NA,Open Access,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Communication,NA,NA,Required by funder policy,NA,Required by University policy,It increases the impact of my research,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I experience no barriers in practicing Open Science,NA,NA,More policies that make Open Science practices required,More incentives that reward Open Science practices,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,1411
